"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 02 17:01:10 GMT 2021","Thu Sep 02 17:01:21 GMT 2021","11146","JDI-Light Performance","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactsTest","fillContactsTest",""
"passed","Thu Sep 02 17:00:57 GMT 2021","Thu Sep 02 17:01:10 GMT 2021","13102","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","atLeastTest","atLeastTest",""
"passed","Thu Sep 02 17:02:04 GMT 2021","Thu Sep 02 17:02:09 GMT 2021","4403","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowMatcherTest","rowMatcherTest",""
"passed","Thu Sep 02 17:02:22 GMT 2021","Thu Sep 02 17:03:20 GMT 2021","58557","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableChainTest","tableChainTest",""
"passed","Thu Sep 02 17:01:49 GMT 2021","Thu Sep 02 17:01:49 GMT 2021","224","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","previewTest","previewTest",""
"passed","Thu Sep 02 17:02:09 GMT 2021","Thu Sep 02 17:02:10 GMT 2021","1337","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowTableMatcherSingleTest","rowTableMatcherSingleTest",""
"passed","Thu Sep 02 17:03:20 GMT 2021","Thu Sep 02 17:03:21 GMT 2021","103","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","valueTest","valueTest",""
"passed","Thu Sep 02 17:01:38 GMT 2021","Thu Sep 02 17:01:49 GMT 2021","10578","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","noRowsTest","noRowsTest",""
"passed","Thu Sep 02 17:01:21 GMT 2021","Thu Sep 02 17:01:28 GMT 2021","7597","JDI-Light Performance","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","loginTest","loginTest",""
"passed","Thu Sep 02 17:00:42 GMT 2021","Thu Sep 02 17:00:51 GMT 2021","8487","JDI-Light Performance","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest","hugeTableSearchTest",""
"passed","Thu Sep 02 17:02:00 GMT 2021","Thu Sep 02 17:02:04 GMT 2021","3932","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowDataMatcherTest","rowDataMatcherTest",""
"passed","Thu Sep 02 17:01:25 GMT 2021","Thu Sep 02 17:01:27 GMT 2021","1587","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataFilterTest","dataFilterTest",""
"passed","Thu Sep 02 17:00:51 GMT 2021","Thu Sep 02 17:00:57 GMT 2021","6432","JDI-Light Performance","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest","hugeTableValidateTest",""
"passed","Thu Sep 02 17:00:34 GMT 2021","Thu Sep 02 17:00:42 GMT 2021","7813","JDI-Light Performance","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest","bigDropdownTest",""
"passed","Thu Sep 02 17:01:19 GMT 2021","Thu Sep 02 17:01:23 GMT 2021","4108","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataColumnNameTest","dataColumnNameTest",""
"passed","Thu Sep 02 17:01:11 GMT 2021","Thu Sep 02 17:01:19 GMT 2021","8068","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","commonMatchersTest","commonMatchersTest",""
"passed","Thu Sep 02 17:00:33 GMT 2021","Thu Sep 02 17:00:42 GMT 2021","8968","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","lineByIndexTest","lineByIndexTest",""
"passed","Thu Sep 02 17:01:49 GMT 2021","Thu Sep 02 17:02:00 GMT 2021","10924","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowDataExactMatcherTest","rowDataExactMatcherTest",""
"passed","Thu Sep 02 17:00:58 GMT 2021","Thu Sep 02 17:00:58 GMT 2021","166","JDI-Light Performance","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","longTextTest","longTextTest",""
"passed","Thu Sep 02 17:00:57 GMT 2021","Thu Sep 02 17:01:01 GMT 2021","4055","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","lineFilterTest","lineFilterTest",""
"passed","Thu Sep 02 17:02:12 GMT 2021","Thu Sep 02 17:02:22 GMT 2021","9893","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowsAllTest","rowsAllTest",""
"passed","Thu Sep 02 17:01:06 GMT 2021","Thu Sep 02 17:01:20 GMT 2021","14265","JDI-Light Performance","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","menuTest","menuTest",""
"passed","Thu Sep 02 17:03:20 GMT 2021","Thu Sep 02 17:03:20 GMT 2021","17","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableParamsTest","tableParamsTest",""
"passed","Thu Sep 02 17:01:23 GMT 2021","Thu Sep 02 17:01:25 GMT 2021","2090","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataColumnTestIndex","dataColumnTestIndex",""
"passed","Thu Sep 02 17:01:27 GMT 2021","Thu Sep 02 17:01:38 GMT 2021","10828","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","exactMatcherTest","exactMatcherTest",""
"passed","Thu Sep 02 17:00:42 GMT 2021","Thu Sep 02 17:00:57 GMT 2021","14455","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","lineByNameTest","lineByNameTest",""
"passed","Thu Sep 02 17:00:32 GMT 2021","Thu Sep 02 17:01:05 GMT 2021","32773","JDI-Light Performance","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","customMenuTest","customMenuTest",""
"passed","Thu Sep 02 17:00:35 GMT 2021","Thu Sep 02 17:00:57 GMT 2021","22178","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","allDataFilterTest","allDataFilterTest",""
"passed","Thu Sep 02 16:59:52 GMT 2021","Thu Sep 02 17:01:10 GMT 2021","77194","JDI-Light Performance","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactFormTest","fillContactFormTest",""
"passed","Thu Sep 02 17:01:01 GMT 2021","Thu Sep 02 17:01:06 GMT 2021","4984","JDI-Light Performance","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","linesFilterTest","linesFilterTest",""
